,job_title,org_name,salary_min,salary_max,director_flag,analyst_flag,scientist_flag,manager_flag,engineer_flag,url,data_science,data_engineering,database_design,data_analysis,collaborate_stakeholders,data_quality,strong_communication,communication_skills,data_pipelines,unstructured_data,data_lake,data_model,data_scientist,data_requirements,team_management,data_manipulation,data_warehouse,machine_learning,sql,python,tableau,JobType
0,Director,Centers of Excellence,132552.0,183300.0,1.0,,,,,https://www.usajobs.gov/GetJob/ViewDetails/615286200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Director
1,Artificial Intelligence Specialist,Centers of Excellence,142701.0,170800.0,,,,,,https://drive.google.com/file/d/12Ik1jP78cQyY9nXF0hB-gnS9V0HwG06C/view,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Unknown
2,Data and Analytics Specialist,Centers of Excellence,142701.0,170800.0,,1.0,,,,https://drive.google.com/file/d/1abhv-KfudFvIX7OCwfa0ZcU7zAOWzFWS/view,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,Data Analyst
3,Open Data Specialist,GSA,109366.0,142180.0,,,,,,https://drive.google.com/file/d/1PwKFGcJ6hMKVrbr5Zwz1tfWSncRKPiFL/view,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown
4,Technology Portfolio Director,TTS Operations,106595.0,138572.0,1.0,,,,,https://drive.google.com/file/d/1bP0kbXeTeKEIsSZiiK1Y-O9RcsKhvkz5/view,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Director
5,Analyst,State of California,,,,1.0,,,,https://docs.google.com/document/d/1KizKFfpnk6_J6XWgSRPXYJzWSquFVKrN/edit#heading=h.gjdgxs,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Analyst
6,Business Intelligence Analyst,State of California,,,,1.0,,,,https://docs.google.com/document/d/16sfsX3Ss6B12sYKQl362WTzHQ0CpDZBz/edit#heading=h.gjdgxs,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,Data Analyst
7,Business Solutions Analyst,State of California,,,,1.0,,,,https://docs.google.com/document/d/1nbO1eBIhy1vLchpVkqHziefRqIOCWHYU/edit#heading=h.gjdgxs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Data Analyst
8,Data Engineer,State of California,,,,,,,1.0,https://docs.google.com/document/d/1Nn9I8RiVNxLOp_3qXouJemBTUbKiEaXd/edit#heading=h.gjdgxs,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,Data Engineer
9,Data Analyst,State of California,,,,1.0,,,,https://docs.google.com/document/d/1HehRy29Sk_aRT-t5MdUU_nxMkl471vKW/edit#heading=h.gjdgxs,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,Data Analyst
