job_title,org_name,salary_min,salary_max,director_flag,analyst_flag,scientist_flag,manager_flag,engineer_flag,url
Director,Centers of Excellence,132552,183300,1,,,,,https://www.usajobs.gov/GetJob/ViewDetails/615286200
Artificial Intelligence Specialist,Centers of Excellence,142701,170800,,,,,,https://drive.google.com/file/d/12Ik1jP78cQyY9nXF0hB-gnS9V0HwG06C/view
Data and Analytics Specialist,Centers of Excellence,142701,170800,,1,,,,https://drive.google.com/file/d/1abhv-KfudFvIX7OCwfa0ZcU7zAOWzFWS/view
Open Data Specialist,GSA,109366,142180,,,,,,https://drive.google.com/file/d/1PwKFGcJ6hMKVrbr5Zwz1tfWSncRKPiFL/view
Technology Portfolio Director,TTS Operations,106595,138572,1,,,,,https://drive.google.com/file/d/1bP0kbXeTeKEIsSZiiK1Y-O9RcsKhvkz5/view
Analyst,State of California,,,,1,,,,https://docs.google.com/document/d/1KizKFfpnk6_J6XWgSRPXYJzWSquFVKrN/edit#heading=h.gjdgxs
Business Intelligence Analyst,State of California,,,,1,,,,https://docs.google.com/document/d/16sfsX3Ss6B12sYKQl362WTzHQ0CpDZBz/edit#heading=h.gjdgxs
Business Solutions Analyst,State of California,,,,1,,,,https://docs.google.com/document/d/1nbO1eBIhy1vLchpVkqHziefRqIOCWHYU/edit#heading=h.gjdgxs
Data Engineer,State of California,,,,,,,1,https://docs.google.com/document/d/1Nn9I8RiVNxLOp_3qXouJemBTUbKiEaXd/edit#heading=h.gjdgxs
Data Analyst,State of California,,,,1,,,,https://docs.google.com/document/d/1HehRy29Sk_aRT-t5MdUU_nxMkl471vKW/edit#heading=h.gjdgxs
Data Scientist,State of California,,,,,1,,,https://docs.google.com/document/d/1Dstgw0yvYEAoi4efCZC_9aSsxQe38EYW/edit#heading=h.gjdgxs
Information Technology Expert,State of California,,,,,,,,https://docs.google.com/document/d/1CuH8t1TLgAxCg4Ci5FowTZb08SnljaFE/edit#heading=h.gjdgxs
Senior Data Analyst,State of California,,,,1,,,,https://docs.google.com/document/d/1tILqTVuorJGRqn762mwwtE9jC_T0Ijyj/edit#heading=h.gjdgxs
Senior Data Engineer,State of California,,,,,,,1,https://docs.google.com/document/d/1A3K0o2NEAALO8X74jwRFOSkInuZxiLZc/edit#heading=h.gjdgxss
Senior Data Scientist,State of California,,,,,1,,,https://docs.google.com/document/d/1820HO8XDfj3PapAG1MRBtAh6T0zDHCww/edit#heading=h.gjdgxs
Technical Lead,State of California,,,,,,,,https://docs.google.com/document/d/1kU8r8G2X5CjVai9HXszQxUTP6uioeX2R/edit#heading=h.gjdgxs
Engineering Practices Lead,City of Austin,86000,116000,,,,,,https://docs.google.com/document/d/1R3Ok4wkecTsYWZSa73mV_QqExQqTnuoM/edit#heading=h.gjdgxs
Technical Lead,Colorado Digital Service,130000,130000,,,,,,https://docs.google.com/document/d/1XmjzAunDgBOXxRbqrJb82oD--4EInBHA/edit
